gene	group
CD86	APCr
CD80	APCr
CD47	APCr
PDCD1LG2	APCr
CD274	APCr
TNFRSF14	APCr
VSIR	APCr
HAVCR1	APCr
LGALS9	APCr
TIMD4	APCr
CD48	APCr
PVR	APCr
NECTIN2	APCr
NECTIN3	APCr
IL2	cytokine
IL6	cytokine
IL10	cytokine
IL18	cytokine
TNF	cytokine
TGFB1	cytokine
IL32	cytokine
IL20RA	cytokine
IL17RB	cytokine
IL4R	cytokine
IL12RB2	cytokine
IL5RA	cytokine
IL11	cytokine
IL12RB1	cytokine
IL2RB	cytokine
IL21R	cytokine
IL7	cytokine
IL4I1	cytokine
IL27RA	cytokine
ILVBL	cytokine
IL10RA	cytokine
IL23A	cytokine
IL26	cytokine
IL17A	cytokine
IL17F	cytokine
IL12B	cytokine
IL4	cytokine
IL5	cytokine
IL1A	cytokine
IL1R2	cytokine
IL1R1	cytokine
IL1RL2	cytokine
IL1RL1	cytokine
IL18R1	cytokine
IL18RAP	cytokine
IL13RA2	cytokine
IL9R	cytokine
IL17C	cytokine
IL1B	cytokine
IL37	cytokine
IL22	cytokine
IL17B	cytokine
ILF3	cytokine
IL13RA1	cytokine
ILKAP	cytokine
IL6ST	cytokine
IL2RA	cytokine
IL15RA	cytokine
IL36G	cytokine
IL1RN	cytokine
IL36A	cytokine
IL36RN	cytokine
IL36B	cytokine
IL1F10	cytokine
IL33	cytokine
IL11RA	cytokine
IL18BP	cytokine
IL21	cytokine
IL19	cytokine
IL22RA1	cytokine
ILDR2	cytokine
ILF2	cytokine
IL17RD	cytokine
ILDR1	cytokine
IL9	cytokine
IL2RG	cytokine
IL34	cytokine
IL6R	cytokine
IL23R	cytokine
IL20	cytokine
IL24	cytokine
IL17RE	cytokine
IL17RC	cytokine
IL15	cytokine
IL3	cytokine
IL22RA2	cytokine
IL31RA	cytokine
IL25	cytokine
ILK	cytokine
IL7R	cytokine
IL12A	cytokine
IL13	cytokine
IL1RAPL1	cytokine
IL16	cytokine
IL17D	cytokine
IL20RB	cytokine
IL17RA	cytokine
IL6-AS1	cytokine
IL3RA	cytokine
IL17REL	cytokine
IL1RAPL2	cytokine
IL1RAP	cytokine
ILRUN	cytokine
IL27	cytokine
IL31	cytokine
IL10RB-DT	cytokine
IL1R1-AS1	cytokine
IL9RP3	cytokine
IL6STP1	cytokine
IL21-AS1	cytokine
IL6R-AS1	cytokine
IL9RP2	cytokine
IL6RP1	cytokine
IL10RB	cytokine
IL12A-AS1	cytokine
ILF2P1	cytokine
IL20RB-AS1	cytokine
ILF2P2	cytokine
IL21R-AS1	cytokine
IL9RP4	cytokine
ILF3-DT	cytokine
B2M	HLA
HLA-A	HLA
HLA-B	HLA
HLA-C	HLA
TAP1	HLA
TAP2	HLA
TAPBP	HLA
HLA-DPA1	HLA
HLA-DPB1	HLA
HLA-DQA1	HLA
HLA-DQA2	HLA
HLA-DQB1	HLA
HLA-DRA	HLA
HLA-DRB1	HLA
HLA-DMA	HLA
HLA-DMB	HLA
HLA-DOA	HLA
HLA-DOB	HLA
HLA-E	HLA
HLA-F	HLA
HLA-G	HLA
IFI27	IFNg
IRF7	IFNg
USP18	IFNg
BST2	IFNg
DDX60	IFNg
HERC6	IFNg
IFI35	IFNg
IFI44	IFNg
IFI44L	IFNg
IFIT1	IFNg
IFIT3	IFNg
ISG15	IFNg
LGALS3BP	IFNg
LY6E	IFNg
MX1	IFNg
MX2	IFNg
OAS3	IFNg
OASL	IFNg
PLSCR1	IFNg
STAT1	IFNg
TRIM14	IFNg
HSD17B1	IFNg
OAS1	IFNg
CA2	IFNg
CCNA1	IFNg
GALC	IFNg
IFI6	IFNg
IFITM1	IFNg
LAMP3	IFNg
MCL1	IFNg
ROBO1	IFNg
SLC6A15	IFNg
THBS1	IFNg
TIMP3	IFNg
CX3CL1	chemokine
CCL26	chemokine
CXCL2	chemokine
CCL22	chemokine
CCL17	chemokine
CCL24	chemokine
CXCL12	chemokine
CCL7	chemokine
CCL2	chemokine
CCL8	chemokine
CCL1	chemokine
CCL20	chemokine
CXCL6	chemokine
CCL25	chemokine
CCL21	chemokine
CXCL9	chemokine
XCL1	chemokine
XCL2	chemokine
CXCL14	chemokine
CCL28	chemokine
CXCL13	chemokine
CXCL16	chemokine
CXCL3	chemokine
CXCL5	chemokine
CXCL1	chemokine
CXCL10	chemokine
CXCL11	chemokine
CXCL8	chemokine
CCL11	chemokine
CCL19	chemokine
CCL13	chemokine
CXCL17	chemokine
CCL27	chemokine
CXCL1P1	chemokine
CCL5	chemokine
CCL23	chemokine
CCL16	chemokine
CCL4	chemokine
CCL18	chemokine
CCL15-CCL14	chemokine
CCL15	chemokine
CCL4L2	chemokine
CCL3L3	chemokine
CCL14	chemokine
CCL3	chemokine
PPBP	chemokine
CCR6	chemokine.r
CCRL2	chemokine.r
CCR2	chemokine.r
CXCR4	chemokine.r
CCR7	chemokine.r
ACKR4	chemokine.r
ACKR3	chemokine.r
ACKR2	chemokine.r
CXCR5	chemokine.r
CCR5	chemokine.r
CXCR1	chemokine.r
CCR1	chemokine.r
CX3CR1	chemokine.r
CXCR6	chemokine.r
XCR1	chemokine.r
CCR9	chemokine.r
CCR8	chemokine.r
CXCR2	chemokine.r
CCR3	chemokine.r
CCR4	chemokine.r
CCR10	chemokine.r
CXCR3	chemokine.r
ACKR1	chemokine.r
CCR5AS	chemokine.r
ACKR4P1	chemokine.r
CXCR2P1	chemokine.r
CCR12P	chemokine.r
